cluster_a;edad;sexo;poblacion;grupo_edad;escolarizacion;atencion_salud_formal;trabajo_remunerado;p_escolarizacion;p_atencion_salud_formal;p_trabajo_remunerado
0;16;h;16993;7;12552;5101;5988;0.73865709409757;0.300182428058612;0.352380391926087
0;16;m;17829;7;12198;6044;1064;0.684166246003702;0.338998261259745;0.0596780526109148
0;17;h;11136;7;7503;3523;2706;0.673760775862069;0.316361350574713;0.242995689655172
0;17;m;12506;7;7682;4326;532;0.614265152726691;0.345913961298577;0.0425395810011195
0;18;h;5885;7;3806;2006;916;0.646728971962617;0.340866610025489;0.155649957519116
0;18;m;7177;7;3965;2465;271;0.552459244809809;0.343458269471924;0.0377595095443779
0;19;h;2053;7;1255;678;234;0.611300535801266;0.330248416950804;0.113979542133463
0;19;m;2666;7;1412;842;74;0.529632408102025;0.31582895723931;0.0277569392348087
0;20;h;499;7;302;160;53;0.605210420841683;0.32064128256513;0.106212424849699
0;20;m;737;7;364;206;27;0.493894165535957;0.279511533242877;0.0366350067842605
0;21;h;175;7;124;34;54;0.708571428571429;0.194285714285714;0.308571428571429
0;21;m;218;7;123;56;20;0.564220183486238;0.256880733944954;0.0917431192660551
1;1;h;266443;1;266443;21822;0;1;0.0819011946269934;0
1;1;m;253902;1;253902;19691;0;1;0.0775535442808643;0
1;2;h;297311;1;287112;13912;0;0.965695853836555;0.0467927523704135;0
1;2;m;283176;1;274587;13061;0;0.969669039749131;0.0461232590332514;0
1;3;h;315678;2;310581;11258;6204;0.983853800391538;0.0356629223449211;0.0196529374869329
1;3;m;297763;2;294461;11359;1732;0.988910643699855;0.0381477886775724;0.00581670657536363
1;4;h;301468;3;294328;9367;60293;0.976315894224263;0.031071291148646;0.19999800973901
1;4;m;277631;3;273447;13087;15189;0.984929636820096;0.0471381077761489;0.0547093083985578
1;5;h;248633;4;239956;8382;136197;0.96510117321514;0.033712339070035;0.547783278969405
1;5;m;237353;4;231986;12394;45269;0.977388109693157;0.0522175830935358;0.190724364132747
1;6;h;216126;5;205588;8569;152045;0.951241405476435;0.0396481681981807;0.703501661068081
1;6;m;216716;5;209798;12632;57644;0.96807803761605;0.0582882666715886;0.265988667195777
1;7;h;192344;5;179109;8656;145617;0.931190991140873;0.0450027034895812;0.757065466040012
1;7;m;196943;5;187688;13185;58369;0.953006707524512;0.0669483048394713;0.296375093301107
1;8;h;178971;6;163480;9404;139498;0.913444077532114;0.0525448256980181;0.77944471450682
1;8;m;182860;6;171216;13771;58761;0.936322869955157;0.0753089795471946;0.32134419774691
1;9;h;157234;6;139314;8930;124100;0.88602973911495;0.0567943320147042;0.78926949641935
1;9;m;158824;6;144387;13916;51127;0.909100639701808;0.0876189996474084;0.321909786933965
1;10;h;150019;6;130100;9738;118659;0.86722348502523;0.0649117778414734;0.790959811757177
1;10;m;148956;6;132401;15135;46722;0.888859797524101;0.101607186014662;0.31366309514219
1;11;h;138444;6;115257;10121;108300;0.832517118835052;0.0731053711247869;0.782265753662131
1;11;m;133574;6;114069;15577;38929;0.853976073187896;0.116617006303622;0.291441448186024
1;12;h;117802;6;92297;10026;90188;0.783492640192866;0.0851089115634709;0.765589718340945
1;12;m;114096;6;92031;14475;29303;0.80661022297013;0.126866848969289;0.25682758378909
1;13;h;92241;7;66953;9044;67169;0.725848592274585;0.0980475059897443;0.728190284146963
1;13;m;88117;7;65730;12022;18953;0.745940056969711;0.136432243494445;0.215089029358694
1;14;h;72954;7;49335;8662;49178;0.676248046714368;0.118732351892974;0.674096005702223
1;14;m;68870;7;47230;10572;11378;0.685784811964571;0.153506606650211;0.165209815594599
1;15;h;53316;7;33091;7229;30740;0.620657963838247;0.135587816040213;0.576562382774402
1;15;m;49548;7;30977;8359;5474;0.62519173326875;0.168705094050214;0.110478727698393
