cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,poblacion_total
3,15,M,1192,2119,78,0.35,0.63,0.02,285,2628,437,39,0.08,0.78,0.13,0.01,734,47,2608,0.22,0.01,0.77,1296,2064,29,0.38,0.61,0.01,509,328,568,1984,0.15,0.1,0.17,0.59,3307,37,45,0.98,0.01,0.01,3155,187,47,0.93,0.06,0.01,322,965,870,1153,0.25,0.74,0.42,0.56,44,330,105,24,240,64,19,440,108,198,1618,160,0.09,0.65,0.21,0.07,0.73,0.2,0.03,0.77,0.19,0.1,0.82,0.08,49,222,812,1782,328,107,0.17,0.78,0.31,0.68,0.75,0.24,3389
3,16,H,1246,542,86,0.66,0.29,0.05,186,1365,304,19,0.1,0.73,0.16,0.01,409,24,1441,0.22,0.01,0.77,1304,553,17,0.7,0.3,0.01,1874,0,0,0,1,0,0,0,1828,20,26,0.98,0.01,0.01,1757,91,26,0.94,0.05,0.01,928,338,317,204,0.71,0.26,0.57,0.37,186,1365,304,0,0,0,0,0,0,0,0,0,0.1,0.73,0.16,0,0,0,0,0,0,0,0,0,101,71,873,437,269,33,0.54,0.38,0.64,0.32,0.88,0.11,1874
3,16,M,793,1620,90,0.32,0.65,0.04,284,1975,213,31,0.11,0.79,0.09,0.01,607,35,1861,0.24,0.01,0.74,730,1748,25,0.29,0.7,0.01,384,196,275,1648,0.15,0.08,0.11,0.66,2423,31,49,0.97,0.01,0.02,2343,110,50,0.94,0.04,0.02,154,568,639,1052,0.21,0.78,0.37,0.6,39,252,67,19,159,18,20,214,41,206,1350,87,0.1,0.66,0.17,0.1,0.81,0.09,0.07,0.78,0.15,0.13,0.82,0.05,44,228,593,1338,154,49,0.15,0.8,0.3,0.68,0.72,0.23,2503
3,17,H,721,397,76,0.6,0.33,0.06,120,921,145,8,0.1,0.77,0.12,0.01,284,12,898,0.24,0.01,0.75,806,383,5,0.68,0.32,0,1194,0,0,0,1,0,0,0,1157,13,24,0.97,0.01,0.02,1113,58,23,0.93,0.05,0.02,529,245,192,152,0.66,0.3,0.5,0.4,120,921,145,0,0,0,0,0,0,0,0,0,0.1,0.77,0.12,0,0,0,0,0,0,0,0,0,39,65,551,314,128,17,0.33,0.54,0.6,0.34,0.88,0.12,1194
3,17,M,522,1140,95,0.3,0.65,0.05,240,1405,96,16,0.14,0.8,0.05,0.01,438,23,1296,0.25,0.01,0.74,407,1337,13,0.23,0.76,0.01,284,109,145,1219,0.16,0.06,0.08,0.69,1702,14,41,0.97,0.01,0.02,1637,79,41,0.93,0.04,0.02,78,315,444,825,0.19,0.77,0.33,0.62,31,208,33,6,88,15,15,116,13,188,993,35,0.11,0.73,0.12,0.06,0.81,0.14,0.1,0.8,0.09,0.15,0.81,0.03,32,193,429,915,61,29,0.13,0.8,0.31,0.65,0.64,0.3,1757
3,18,H,341,253,52,0.53,0.39,0.08,90,493,58,5,0.14,0.76,0.09,0.01,166,8,472,0.26,0.01,0.73,374,265,7,0.58,0.41,0.01,646,0,0,0,1,0,0,0,622,8,16,0.96,0.01,0.02,604,25,17,0.93,0.04,0.03,216,135,125,118,0.58,0.36,0.47,0.45,90,493,58,0,0,0,0,0,0,0,0,0,0.14,0.76,0.09,0,0,0,0,0,0,0,0,0,26,56,271,187,44,10,0.29,0.62,0.55,0.38,0.76,0.17,646
3,18,M,298,629,89,0.29,0.62,0.09,161,775,59,21,0.16,0.76,0.06,0.02,275,11,730,0.27,0.01,0.72,157,849,10,0.15,0.84,0.01,175,60,93,688,0.17,0.06,0.09,0.68,965,11,40,0.95,0.01,0.04,938,39,39,0.92,0.04,0.04,31,118,267,511,0.2,0.75,0.31,0.6,23,114,23,10,47,1,6,80,6,122,534,29,0.13,0.65,0.13,0.17,0.78,0.02,0.06,0.86,0.06,0.18,0.78,0.04,19,120,240,483,36,20,0.12,0.75,0.31,0.62,0.61,0.34,1016
3,19,H,130,93,33,0.51,0.36,0.13,37,185,27,7,0.14,0.72,0.11,0.03,53,3,200,0.21,0.01,0.78,131,120,5,0.51,0.47,0.02,256,0,0,0,1,0,0,0,239,5,12,0.93,0.02,0.05,227,17,12,0.89,0.07,0.05,77,42,53,51,0.59,0.32,0.44,0.43,37,185,27,0,0,0,0,0,0,0,0,0,0.14,0.72,0.11,0,0,0,0,0,0,0,0,0,12,18,93,72,24,3,0.32,0.49,0.5,0.39,0.89,0.11,256
3,19,M,111,280,53,0.25,0.63,0.12,85,330,16,13,0.19,0.74,0.04,0.03,126,4,314,0.28,0.01,0.71,45,392,7,0.1,0.88,0.02,71,21,36,316,0.16,0.05,0.08,0.71,410,12,22,0.92,0.03,0.05,389,33,22,0.88,0.07,0.05,6,37,105,243,0.13,0.82,0.27,0.62,10,46,5,3,16,1,7,27,2,65,241,8,0.14,0.65,0.07,0.14,0.76,0.05,0.19,0.75,0.06,0.21,0.76,0.03,11,60,88,213,11,4,0.13,0.71,0.27,0.65,0.69,0.25,444
3,20,H,32,22,7,0.52,0.36,0.11,12,37,11,1,0.2,0.61,0.18,0.02,14,0,47,0.23,0,0.77,30,30,1,0.49,0.49,0.02,61,0,0,0,1,0,0,0,57,3,1,0.93,0.05,0.02,53,7,1,0.87,0.11,0.02,18,10,14,12,0.6,0.33,0.47,0.4,12,37,11,0,0,0,0,0,0,0,0,0,0.2,0.61,0.18,0,0,0,0,0,0,0,0,0,3,7,19,14,10,1,0.25,0.58,0.51,0.38,0.91,0.09,61
