,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
827,52,352,7112,0.859814,0.140186,0.88653,0.11347,0.310602,0.689398,0.070726,0.003234,0.92604,3464,3648,NARIÑO,ILES,4
828,52,354,6351,0.874036,0.125964,0.908361,0.091639,0.272398,0.727602,0.110534,0.020312,0.869154,3061,3290,NARIÑO,IMUES,0
829,52,381,9047,0.830662,0.169338,0.868796,0.131204,0.176412,0.823588,0.202166,0.015033,0.782801,4489,4558,NARIÑO,LA FLORIDA,0
830,52,685,8874,0.838742,0.161258,0.873563,0.126437,0.169484,0.830516,0.175344,0.020171,0.804485,4536,4338,NARIÑO,SAN BERNARDO,0
831,52,694,6572,0.827145,0.172855,0.866859,0.133141,0.361686,0.638314,0.161595,0.02039,0.818016,3321,3251,NARIÑO,SAN PEDRO DE CARTAGO,0
832,52,696,8989,0.694071,0.305929,0.741128,0.258872,0.264323,0.735677,0.065191,0.015241,0.919568,4551,4438,NARIÑO,SANTA BARBARA,2
833,52,699,9869,0.823386,0.176614,0.856622,0.143378,0.21988,0.78012,0.095146,0.030196,0.874658,4983,4886,NARIÑO,SANTA CRUZ,0
834,52,786,15412,0.81203,0.18797,0.842396,0.157604,0.415585,0.584415,0.066572,0.006618,0.92681,7693,7719,NARIÑO,TAMINANGO,4
835,52,788,10331,0.869132,0.130868,0.882199,0.117801,0.251089,0.748911,0.177137,0.004549,0.818314,5115,5216,NARIÑO,TANGUA,0
836,52,885,10579,0.849041,0.150959,0.871443,0.128557,0.306834,0.693166,0.178089,0.042064,0.779847,5221,5358,NARIÑO,YACUANQUER,0
837,54,109,4698,0.780758,0.219242,0.796509,0.203491,0.295019,0.704981,0.090677,0.030013,0.87931,2493,2205,NORTE DE SANTANDER,BUCARASICA,1
838,54,128,8642,0.826892,0.173108,0.836843,0.163157,0.339736,0.660264,0.016894,0.00405,0.979056,4549,4093,NORTE DE SANTANDER,CACHIRA,4
839,54,174,10554,0.844703,0.155297,0.871613,0.128387,0.262081,0.737919,0.120523,0.04008,0.839397,5466,5088,NORTE DE SANTANDER,CHITAGA,0
840,54,223,7648,0.817599,0.182401,0.834074,0.165926,0.232348,0.767652,0.036611,0.006668,0.956721,3993,3655,NORTE DE SANTANDER,CUCUTILLA,1
841,68,682,2167,0.8491,0.1509,0.871251,0.128749,0.359022,0.640978,0.245962,0.000923,0.753115,1127,1040,SANTANDER,SAN JOAQUIN,0
842,68,686,2433,0.826141,0.173859,0.840937,0.159063,0.424168,0.575832,0.02014,0.002877,0.976983,1298,1135,SANTANDER,SAN MIGUEL,4
843,68,705,2239,0.857526,0.142474,0.873158,0.126842,0.293435,0.706565,0.051362,0.006699,0.941938,1222,1017,SANTANDER,SANTA BARBARA,4
844,68,780,3520,0.867045,0.132955,0.87358,0.12642,0.353977,0.646023,0.029545,0.000568,0.969886,1826,1694,SANTANDER,SURATA,4
845,68,820,6680,0.863473,0.136527,0.875,0.125,0.360479,0.639521,0.012275,0.000898,0.986826,3582,3098,SANTANDER,TONA,4
846,68,855,5648,0.84136,0.15864,0.85995,0.14005,0.392882,0.607118,0.097025,0.010977,0.891997,2861,2787,SANTANDER,VALLE DE SAN JOSE,4
847,68,867,1762,0.88025,0.11975,0.905789,0.094211,0.312713,0.687287,0.107264,0.011351,0.881385,900,862,SANTANDER,VETAS,0
848,70,124,13331,0.744955,0.255045,0.774811,0.225189,0.262321,0.737679,0.070137,0.020629,0.909234,6965,6366,SUCRE,CAIMITO,1
849,70,204,7803,0.765219,0.234781,0.793413,0.206587,0.306421,0.693579,0.123927,0.013585,0.862489,4098,3705,SUCRE,COLOSO,1
850,70,230,4425,0.744633,0.255367,0.783277,0.216723,0.161582,0.838418,0.150282,0.060339,0.789379,2362,2063,SUCRE,CHALAN,2
